issuer,pd_now,feature,lime,lime_sd,lime_lo,lime_hi,shap,value,median,pct_of_median,sd_from_median,percentile,shap_share,shap_pct_of_pd,lime_share,dir_lime,dir_shap,agree,lime_stable
A,0.21942209845421334,EBITtoTA,0.0005396801925825519,0.00015329737999859088,0.00034514301353904614,0.0007908615765062342,0.008474524572778844,-0.020514517304853,0.0312964642580925,-165.54899344435833,-0.8985667674992047,9.990580478040739,2.55939001110251,3.862201953440536,2.368482291224147,เพิ่ม,เพิ่ม,True,True
A,0.21942209845421334,ESGScore,0.0002259785766025112,0.000576921290396588,-0.000351967607006867,0.0014833148402934187,-0.0043566951918772865,45.5427695815967,61.1057554716628,-25.46893622366437,-1.0505176127667613,19.092193571176264,-1.3157649210583096,-1.9855316408736265,0.9917470832454475,เพิ่ม,ลด,False,False
A,0.21942209845421334,zero_days,0.0011358115418228052,0.00032832794515930185,0.0005234968091683288,0.0016308079261169544,-0.003631046514301431,7.0,0.0,,3.6017065489722975,95.99670316731425,-1.09661186285337,-1.6548226180869923,4.984710500680108,เพิ่ม,ลด,False,True
A,0.21942209845421334,percent_zero_days,0.0015482813367046653,0.0007105670597844518,0.0007725439345498624,0.002806849769596884,-0.0020803468945778617,54.846153259277344,1.0,5384.615325927734,3.0195009030290794,96.03791357588602,-0.628285282069198,-0.9481027249458952,6.794907388150842,เพิ่ม,ลด,False,True
A,0.21942209845421334,AverageBoardTenure,0.00034596663160232205,0.00019824856039634922,5.1429716580353464e-05,0.0006081898687132355,0.0019720694661310503,5.275,7.58823529411765,-30.484496124031033,-0.4525862828330914,31.69669139291181,0.5955844306627615,0.8987560870230947,1.5183359544536679,เพิ่ม,เพิ่ม,True,True
A,0.21942209845421334,SocialPillarScore,0.00037941294413699773,0.0004065662520153286,-0.00036584500525468097,0.0008172810733142405,-0.0018213341768180142,53.3142074130537,67.8638147817488,-21.439418658510263,-0.8007981976622539,23.066054397739315,-0.550060886483347,-0.8300595927433766,1.6651210320494334,เพิ่ม,ลด,False,False
A,0.21942209845421334,STDtoTA,0.0003126792489939092,0.00041871770604761597,-0.00029055472688680763,0.000884861631232329,0.0017456233443126734,0.018039099872112274,0.0467136986553669,-61.38370458482252,-0.2277551223003582,24.64971152714,0.5271954682781951,0.7955549402773264,1.3722483690413707,เพิ่ม,เพิ่ม,True,False
A,0.21942209845421334,UnemploymentratemodeledILOe,0.0004737700976899226,0.0001256796960202942,0.00037088381108393907,0.0007338372516100869,0.0017219693711212909,0.781,0.781,0.0,0.0,35.541033792535025,0.520051735058827,0.7847748167810968,2.079224144062823,เพิ่ม,เพิ่ม,True,True
A,0.21942209845421334,n_days,0.0003369520698789167,0.0003272055931131426,-0.0001857207426305009,0.0008406646107358029,0.0015673184810634502,13.0,20.0,-35.0,-3.001302938771991,3.9091016130931355,0.47334564083219116,0.7142938163953899,1.4787739506994413,เพิ่ม,เพิ่ม,True,False
A,0.21942209845421334,LTDtoTA,0.0003595651641675353,0.00024978404904638015,6.237799251871457e-05,0.0008459140937687,-0.0011604260521140008,0.5011112093925476,0.2598525881767273,92.8444172554244,1.7605815476427868,97.2624514305899,-0.3504601138267536,-0.5288555985422526,1.5780155276713115,เพิ่ม,ลด,False,True
A,0.21942209845421334,lnTotalAssets,0.000553993349707052,0.000434101839359162,0.0001314058537261834,0.001473402224715701,-0.00098625195968304,23.387880325317383,24.49469566345215,-4.518591916151928,-0.6885300858270463,28.499941127987753,-0.29785781991252724,-0.4494770429373322,2.4312981211301183,เพิ่ม,ลด,False,True
A,0.21942209845421334,WorkingCapitaltoTA,0.00038142821363087504,0.00042849933863309595,-0.00029302632150086266,0.0009089865262609915,0.0009041068148285602,0.05195,0.03649,42.367771992326674,0.06335762034362574,52.33133168491699,0.27304917591184263,0.4120400001630736,1.673965399832234,เพิ่ม,เพิ่ม,True,False
A,0.21942209845421334,IndependentBoardMembers,0.00022226157127294913,0.00042248592384653286,-0.00043374773050771775,0.0008180608034272808,0.0007711387614424945,50.0,45.4545454545455,9.999999999999883,0.35999928516215374,51.84858118450488,0.23289151223296445,0.35144079237005726,0.9754343457752709,เพิ่ม,เพิ่ม,True,False
A,0.21942209845421334,lnAge,0.0002312702799971315,0.0002298400178130831,-7.038881630933837e-05,0.0005158164404379266,-0.0002614630420447638,3.09135365486145,3.4573159217834473,-10.585155513737847,-0.628498474550964,28.97091722595078,-0.07896441768914646,-0.11915984938924604,1.0149706626037944,เพิ่ม,ลด,False,False
A,0.21942209845421334,GDPgrowth,0.00013710833422083844,0.0002849073441668421,-0.00021215591057937536,0.0006749767408585756,-0.00018590455625020874,2.541820677,2.541820677,0.0,0.0,28.80607559166372,-0.0561450096933533,-0.08472462781090452,0.6017242545577104,เพิ่ม,ลด,False,False
A,0.21942209845421334,EnvironmentalPillarScore,0.00036412264833662086,0.00022067746893989648,-9.792595243775273e-05,0.0006552231955711193,0.0001733418379493047,43.0087781253153,58.6715370299971,-26.695668287459164,-0.7241204648693985,28.664782762274815,0.05235094485166209,0.07899926177466389,1.5980168556714351,เพิ่ม,เพิ่ม,True,False
